,epochs,total loss function,boarding losses train,nest_losses_train,alighting losses train,section constraint train,od flow equal constraint train f
0,0,371.01571883348134,176.57780400000001,30.843292833481343,163.594622,0.0,0.0
1,1,375.71765547911934,176.57780400000001,35.545229479119364,163.594622,0.0,0.0
2,2,370.7543258479701,176.57780400000001,30.581899847970085,163.594622,0.0,0.0
3,3,373.20981992767213,176.57780400000001,33.037393927672085,163.594622,0.0,0.0
4,4,370.7554463588465,176.57780400000001,30.583020358846486,163.594622,0.0,0.0
5,5,370.5977940567369,176.57780400000001,30.42536805673689,163.594622,0.0,0.0
6,6,371.0016933550909,176.57780400000001,30.829267355090867,163.594622,0.0,0.0
7,7,370.761492475064,176.57780400000001,30.589066475064023,163.594622,0.0,0.0
8,8,369.8715754095159,176.57780400000001,29.69914940951589,163.594622,0.0,0.0
9,9,369.8923250196983,176.57780400000001,29.71989901969828,163.594622,0.0,0.0
10,10,370.45699586055946,176.57780400000001,30.284569860559476,163.594622,0.0,0.0
11,11,369.61888806847384,176.57780400000001,29.446462068473842,163.594622,0.0,0.0
12,12,369.12952392619115,176.57780400000001,28.957097926191178,163.594622,0.0,0.0
13,13,369.627211984848,176.57780400000001,29.45478598484798,163.594622,0.0,0.0
14,14,369.7347362097779,176.57780400000001,29.56231020977787,163.594622,0.0,0.0
15,15,369.2098735683862,176.57780400000001,29.03744756838616,163.594622,0.0,0.0
16,16,368.8620800871099,176.57780400000001,28.689654087109904,163.594622,0.0,0.0
17,17,369.1408701823245,176.57780400000001,28.968444182324486,163.594622,0.0,0.0
18,18,369.26987652596324,176.57780400000001,29.097450525963232,163.594622,0.0,0.0
19,19,368.8875966692488,176.57780400000001,28.715170669248806,163.594622,0.0,0.0
20,20,368.66056022483474,176.57780400000001,28.48813422483471,163.594622,0.0,0.0
21,21,368.8019580877296,176.57780400000001,28.629532087729597,163.594622,0.0,0.0
22,22,368.8895671925136,176.57780400000001,28.717141192513562,163.594622,0.0,0.0
23,23,368.65993898862814,176.57780400000001,28.487512988628172,163.594622,0.0,0.0
24,24,368.4944753754587,176.57780400000001,28.322049375458686,163.594622,0.0,0.0
25,25,368.574148723251,176.57780400000001,28.401722723250998,163.594622,0.0,0.0
26,26,368.5680673880098,176.57780400000001,28.395641388009835,163.594622,0.0,0.0
27,27,368.4634018789253,176.57780400000001,28.290975878925273,163.594622,0.0,0.0
28,28,368.39370160765765,176.57780400000001,28.221275607657635,163.594622,0.0,0.0
29,29,368.3605701523137,176.57780400000001,28.188144152313736,163.594622,0.0,0.0
30,30,368.34214217806993,176.57780400000001,28.169716178069937,163.594622,0.0,0.0
31,31,368.30248290090617,176.57780400000001,28.13005690090621,163.594622,0.0,0.0
32,32,368.2570636490509,176.57780400000001,28.08463764905088,163.594622,0.0,0.0
33,33,368.1982721133279,176.57780400000001,28.025846113327862,163.594622,0.0,0.0
34,34,368.166607070013,176.57780400000001,27.994181070013056,163.594622,0.0,0.0
35,35,368.1742510388798,176.57780400000001,28.001825038879755,163.594622,0.0,0.0
36,36,368.12503209121235,176.57780400000001,27.952606091212328,163.594622,0.0,0.0
37,37,368.05061325778286,176.57780400000001,27.878187257782827,163.594622,0.0,0.0
38,38,368.0444368812231,176.57780400000001,27.872010881223048,163.594622,0.0,0.0
39,39,368.05062324465865,176.57780400000001,27.878197244658644,163.594622,0.0,0.0
40,40,367.9874748844775,176.57780400000001,27.81504888447749,163.594622,0.0,0.0
41,41,367.9356519628929,176.57780400000001,27.76322596289291,163.594622,0.0,0.0
42,42,367.9464288967689,176.57780400000001,27.77400289676887,163.594622,0.0,0.0
43,43,367.9274799888988,176.57780400000001,27.75505398889882,163.594622,0.0,0.0
44,44,367.86838992617805,176.57780400000001,27.695963926178052,163.594622,0.0,0.0
45,45,367.85009835399626,176.57780400000001,27.677672353996265,163.594622,0.0,0.0
46,46,367.849931902693,176.57780400000001,27.677505902693007,163.594622,0.0,0.0
47,47,367.811465355313,176.57780400000001,27.639039355313002,163.594622,0.0,0.0
48,48,367.7790756019064,176.57780400000001,27.6066496019064,163.594622,0.0,0.0
49,49,367.7720896123555,176.57780400000001,27.59966361235549,163.594622,0.0,0.0
50,50,367.7507625939321,176.57780400000001,27.578336593932107,163.594622,0.0,0.0
51,51,367.7205812768991,176.57780400000001,27.548155276899113,163.594622,0.0,0.0
52,52,367.7086997407797,176.57780400000001,27.536273740779688,163.594622,0.0,0.0
53,53,367.6909580084585,176.57780400000001,27.5185320084585,163.594622,0.0,0.0
54,54,367.66619212767716,176.57780400000001,27.493766127677155,163.594622,0.0,0.0
55,55,367.652514702952,176.57780400000001,27.480088702951956,163.594622,0.0,0.0
56,56,367.6352865061938,176.57780400000001,27.462860506193767,163.594622,0.0,0.0
57,57,367.6154602250494,176.57780400000001,27.443034225049395,163.594622,0.0,0.0
58,58,367.6045148904358,176.57780400000001,27.432088890435818,163.594622,0.0,0.0
59,59,367.59070525237155,176.57780400000001,27.418279252371548,163.594622,0.0,0.0
60,60,367.57034548365505,176.57780400000001,27.397919483655055,163.594622,0.0,0.0
61,61,367.5596728174616,176.57780400000001,27.38724681746161,163.594622,0.0,0.0
62,62,367.5494942035575,176.57780400000001,27.37706820355747,163.594622,0.0,0.0
63,63,367.5314101500185,176.57780400000001,27.358984150018465,163.594622,0.0,0.0
64,64,367.519517555863,176.57780400000001,27.34709155586301,163.594622,0.0,0.0
65,65,367.5110544594739,176.57780400000001,27.338628459473874,163.594622,0.0,0.0
66,66,367.49614378733907,176.57780400000001,27.323717787339067,163.594622,0.0,0.0
67,67,367.4840569131783,176.57780400000001,27.31163091317828,163.594622,0.0,0.0
68,68,367.47563529006027,176.57780400000001,27.303209290060284,163.594622,0.0,0.0
69,69,367.4636199942075,176.57780400000001,27.291193994207468,163.594622,0.0,0.0
70,70,367.4525468281835,176.57780400000001,27.28012082818345,163.594622,0.0,0.0
71,71,367.4437671614286,176.57780400000001,27.271341161428598,163.594622,0.0,0.0
72,72,367.4334477391002,176.57780400000001,27.261021739100187,163.594622,0.0,0.0
73,73,367.4240458871776,176.57780400000001,27.251619887177576,163.594622,0.0,0.0
74,74,367.4151912772064,176.57780400000001,27.24276527720645,163.594622,0.0,0.0
75,75,367.40591631417567,176.57780400000001,27.233490314175697,163.594622,0.0,0.0
76,76,367.39792063776076,176.57780400000001,27.2254946377608,163.594622,0.0,0.0
77,77,367.38947842534856,176.57780400000001,27.217052425348527,163.594622,0.0,0.0
78,78,367.38090502595963,176.57780400000001,27.208479025959644,163.594622,0.0,0.0
79,79,367.37398475464465,176.57780400000001,27.201558754644648,163.594622,0.0,0.0
80,80,367.3662094325819,176.57780400000001,27.1937834325819,163.594622,0.0,0.0
81,81,367.35837617895464,176.57780400000001,27.18595017895464,163.594622,0.0,0.0
82,82,367.35211874631796,176.57780400000001,27.179692746317937,163.594622,0.0,0.0
83,83,367.3450392876342,176.57780400000001,27.172613287634263,163.594622,0.0,0.0
84,84,367.3380082997777,176.57780400000001,27.165582299777704,163.594622,0.0,0.0
85,85,367.3321964578949,176.57780400000001,27.1597704578949,163.594622,0.0,0.0
86,86,367.32578640148176,176.57780400000001,27.15336040148174,163.594622,0.0,0.0
87,87,367.31955656223766,176.57780400000001,27.14713056223766,163.594622,0.0,0.0
88,88,367.31406218928817,176.57780400000001,27.14163618928817,163.594622,0.0,0.0
89,89,367.3082671678059,176.57780400000001,27.135841167805918,163.594622,0.0,0.0
90,90,367.3052599791161,176.57780400000001,27.132833979116093,163.594622,0.0,0.0
91,91,367.3040249684178,176.57780400000001,27.13159896841778,163.594622,0.0,0.0
92,92,367.3025904495431,176.57780400000001,27.130164449543113,163.594622,0.0,0.0
93,93,367.30090284445555,176.57780400000001,27.12847684445552,163.594622,0.0,0.0
94,94,367.2994022030064,176.57780400000001,27.12697620300641,163.594622,0.0,0.0
95,95,367.2983563952896,176.57780400000001,27.125930395289608,163.594622,0.0,0.0
96,96,367.29693431033627,176.57780400000001,27.124508310336235,163.594622,0.0,0.0
97,97,367.29560223221085,176.57780400000001,27.123176232210845,163.594622,0.0,0.0
98,98,367.29470631486754,176.57780400000001,27.12228031486757,163.594622,0.0,0.0
99,99,367.2934545892315,176.57780400000001,27.121028589231486,163.594622,0.0,0.0
100,100,367.2923302218651,176.57780400000001,27.119904221865095,163.594622,0.0,0.0
101,101,367.29153523318337,176.57780400000001,27.119109233183398,163.594622,0.0,0.0
102,102,367.2903011180663,176.57780400000001,27.11787511806632,163.594622,0.0,0.0
103,103,367.2891775515192,176.57780400000001,27.116751551519187,163.594622,0.0,0.0
104,104,367.2881601836523,176.57780400000001,27.115734183652282,163.594622,0.0,0.0
105,105,367.2869098997432,176.57780400000001,27.11448389974318,163.594622,0.0,0.0
106,106,367.28597296895794,176.57780400000001,27.11354696895797,163.594622,0.0,0.0
107,107,367.2850958805835,176.57780400000001,27.112669880583482,163.594622,0.0,0.0
108,108,367.2841874660578,176.57780400000001,27.111761466057775,163.594622,0.0,0.0
109,109,367.2835130755445,176.57780400000001,27.111087075544482,163.594622,0.0,0.0
110,110,367.2827215388596,176.57780400000001,27.110295538859592,163.594622,0.0,0.0
111,111,367.28193665894156,176.57780400000001,27.10951065894157,163.594622,0.0,0.0
112,112,367.2812105274604,176.57780400000001,27.108784527460433,163.594622,0.0,0.0
113,113,367.2803591006256,176.57780400000001,27.107933100625615,163.594622,0.0,0.0
114,114,367.27961253611596,176.57780400000001,27.107186536115965,163.594622,0.0,0.0
115,115,367.2788902737858,176.57780400000001,27.106464273785846,163.594622,0.0,0.0
116,116,367.2781650097662,176.57780400000001,27.105739009766232,163.594622,0.0,0.0
117,117,367.2775674902025,176.57780400000001,27.105141490202485,163.594622,0.0,0.0
118,118,367.27695292624685,176.57780400000001,27.104526926246827,163.594622,0.0,0.0
119,119,367.2763598341156,176.57780400000001,27.103933834115594,163.594622,0.0,0.0
120,120,367.27581128915983,176.57780400000001,27.10338528915981,163.594622,0.0,0.0
