BOARDDATE,ARR_STATION_ID,ARR_STATION,PSGNUM,ARR_STATION_SEQ,EST_PSGNUM,DATA_TYPE
20231112,1,B,6210,0,6019.997062247543,TRAINING
20231112,2,C,5021,1,4986.982635804357,TRAINING
20231112,3,D,9991,2,9951.182658409658,TRAINING
20241112,1,B,7765,0,6059.252484063274,VALIDATION
20241112,2,C,8224,1,4968.786933055481,VALIDATION
20241112,3,D,13116,2,9930.122939342806,VALIDATION
