epoch,boarding,od_flow,od_line_flow,alighting
0,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
1,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
2,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
3,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
4,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
5,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
6,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
7,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
8,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
9,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
10,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
11,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
12,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
13,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
14,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
15,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
16,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
17,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
18,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
19,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
20,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
21,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
22,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
23,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
24,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
25,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
26,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
27,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
28,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
29,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
30,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
31,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
32,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
33,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
34,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
35,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
36,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
37,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
38,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
39,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
40,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
41,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
42,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
43,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
44,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
45,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
46,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
47,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
48,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
49,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
50,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
51,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
52,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
53,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
54,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
55,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
56,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
57,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
58,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
59,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
60,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
61,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
62,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
63,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
64,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
65,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
66,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
67,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
68,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
69,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
70,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
71,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
72,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
73,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
74,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
75,-5.675057429342857,-6.092415466779214,-1.965795143300563,-11.144934363974267
