BOARDDATE,DEP_STATION_ID,DEP_STATION,PSGNUM,DEP_STATION_SEQ,EST_PSGNUM,DATA_TYPE
20231112,0,A,11250,0,11043.537988757078,TRAINING
20231112,1,B,5370,1,5325.009246469766,TRAINING
20231112,2,C,4602,2,4589.615121234715,TRAINING
20241112,0,A,15706,0,11043.537988757078,VALIDATION
20241112,1,B,6850,1,5325.009246469766,VALIDATION
20241112,2,C,6549,2,4589.615121234715,VALIDATION
